                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.66914,                0.31268,                0.77115,                0.88198,                0.74192,                0.81036,                0.57635,                0.77267,                0.35687,                0.78964,              0.0002105,              0.0002105,              0.0002105
                     86,                0.64196,                0.30188,                0.77357,                   0.86,                0.74795,                0.81213,                0.56882,                0.76574,                0.35637,                0.78932,             0.00019813,             0.00019813,             0.00019813
                     87,                0.63534,                0.30053,                0.77188,                0.89197,                0.73363,                0.81047,                0.57047,                0.77401,                0.36122,                0.78899,             0.00018575,             0.00018575,             0.00018575
                     88,                 0.6509,                0.30387,                0.77177,                0.92798,                0.73265,                0.82518,                0.57968,                0.76592,                0.35451,                0.78956,             0.00017338,             0.00017338,             0.00017338
                     89,                0.63296,                0.29896,                0.77171,                0.89308,                0.73653,                0.82332,                0.56911,                0.77705,                0.35422,                0.79018,               0.000161,               0.000161,               0.000161
                     90,                0.63822,                0.30178,                0.77312,                 0.9056,                 0.7399,                0.82552,                0.57266,                0.77102,                0.34874,                0.78987,             0.00014862,             0.00014862,             0.00014862
                     91,                0.61796,                0.30177,                0.77173,                0.94571,                0.73873,                0.82453,                0.57979,                0.78286,                0.35562,                0.79072,             0.00013625,             0.00013625,             0.00013625
                     92,                0.59947,                0.29494,                0.77287,                0.88024,                0.72949,                0.80013,                0.55655,                0.77828,                0.35641,                  0.791,             0.00012387,             0.00012387,             0.00012387
                     93,                0.59426,                0.28835,                 0.7738,                0.86713,                0.72781,                0.79775,                0.55524,                0.78409,                0.35994,                0.79101,              0.0001115,              0.0001115,              0.0001115
                     94,                0.57475,                0.28279,                0.77198,                0.88623,                0.73196,                0.79467,                 0.5639,                0.77007,                0.35499,                 0.7901,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.57613,                0.28254,                0.76965,                0.90813,                0.73592,                0.82055,                0.55978,                0.76738,                0.35853,                0.78952,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.56834,                0.28061,                0.77143,                0.86742,                0.74182,                0.81111,                0.56067,                0.77027,                0.36032,                 0.7895,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.56585,                0.27978,                0.76995,                0.86712,                0.75771,                0.82611,                0.57009,                0.77205,                0.36137,                0.78996,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.55082,                0.27266,                0.77113,                 0.8468,                0.73839,                0.80935,                0.57225,                0.76708,                 0.3532,                0.79008,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.57268,                0.27831,                0.77009,                0.87536,                0.74911,                0.80372,                0.55905,                0.77327,                0.35723,                0.79027,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.55759,                0.27444,                0.76893,                0.88285,                0.75818,                 0.8126,                0.56882,                0.76612,                0.35846,                0.78959,             2.4875e-05,             2.4875e-05,             2.4875e-05
